id,tone
@0nefence,"[0.3333333333333333, 0.6, 0.06666666666666667]"
@166.ootd,"[0.3, 0.7, 0.0]"
@1ungwoo,"[0.1724137931034483, 0.6551724137931034, 0.1724137931034483]"
@337janggoon,"[0.06666666666666667, 0.8333333333333334, 0.1]"
@59seok,"[0.4827586206896552, 0.3793103448275862, 0.13793103448275862]"
@98.c_project,"[0.1935483870967742, 0.8064516129032258, 0.0]"
@amourfor_u,"[0.23076923076923078, 0.6538461538461539, 0.11538461538461539]"
@antmousbe9,"[0.5666666666666667, 0.36666666666666664, 0.06666666666666667]"
@ap.s_fi1st,"[0.25925925925925924, 0.7037037037037037, 0.037037037037037035]"
@arcco_iris_,"[0.2413793103448276, 0.7586206896551724, 0.0]"
@bacajini,"[0.42857142857142855, 0.5, 0.07142857142857142]"
@ba_serin_e,"[0.22727272727272727, 0.5909090909090909, 0.18181818181818182]"
@bbo9ni,"[0.17857142857142858, 0.6785714285714286, 0.14285714285714285]"
@bejoon0,"[0.16666666666666666, 0.7333333333333333, 0.1]"
@belleofcloset,"[0.06666666666666667, 0.8666666666666667, 0.06666666666666667]"
@bloggerbok,"[0.6666666666666666, 0.25925925925925924, 0.07407407407407407]"
@by_he.nique,"[0.03333333333333333, 0.9666666666666667, 0.0]"
@campo_look,"[0.27586206896551724, 0.6551724137931034, 0.06896551724137931]"
@chaileeson,"[0.26666666666666666, 0.6, 0.13333333333333333]"
@c_eunnnnnnn,"[0.5, 0.4, 0.1]"
@dbs.ycaa,"[0.5882352941176471, 0.29411764705882354, 0.11764705882352941]"
@dismas_,"[0.23333333333333334, 0.13333333333333333, 0.6333333333333333]"
@dosirak_hansol,"[0.17857142857142858, 0.5714285714285714, 0.25]"
@d_soms,"[0.3333333333333333, 0.6333333333333333, 0.03333333333333333]"
@eungil_j,"[0.23333333333333334, 0.7333333333333333, 0.03333333333333333]"
@e_wolly,"[0.5833333333333334, 0.375, 0.041666666666666664]"
@geol_dong,"[0.13793103448275862, 0.7586206896551724, 0.10344827586206896]"
@grey_woo9,"[0.36666666666666664, 0.4666666666666667, 0.16666666666666666]"
@hamnihouse,"[0.1111111111111111, 0.7037037037037037, 0.18518518518518517]"
@hawl_0.s,"[0.2857142857142857, 0.4642857142857143, 0.25]"
@hmm.__.u,"[0.26666666666666666, 0.7333333333333333, 0.0]"
@hodu__jwan,"[0.3333333333333333, 0.4666666666666667, 0.2]"
@hotneul,"[0.06666666666666667, 0.9333333333333333, 0.0]"
@hwi____ii,"[0.16666666666666666, 0.6333333333333333, 0.2]"
@j0ng_wo0,"[0.14285714285714285, 0.6785714285714286, 0.17857142857142858]"
@jelly_wony,"[0.16666666666666666, 0.7666666666666667, 0.06666666666666667]"
@jess.02.23,"[0.36363636363636365, 0.6363636363636364, 0.0]"
@jin.wonder,"[0.5925925925925926, 0.4074074074074074, 0.0]"
@jindalorian,"[0.36666666666666664, 0.6333333333333333, 0.0]"
@jin_pyo_is,"[0.13333333333333333, 0.26666666666666666, 0.6]"
@jung_staas,"[0.3448275862068966, 0.5517241379310345, 0.10344827586206896]"
@kimchiz_man,"[0.2222222222222222, 0.4074074074074074, 0.37037037037037035]"
@kimyannnnngh,"[0.5, 0.39285714285714285, 0.10714285714285714]"
@kj_m.w,"[0.16666666666666666, 0.8, 0.03333333333333333]"
@kxyxn,"[0.5517241379310345, 0.27586206896551724, 0.1724137931034483]"
@k_8_8bsoo,"[0.36666666666666664, 0.4666666666666667, 0.16666666666666666]"
@lamode.seoul,"[0.2692307692307692, 0.7307692307692307, 0.0]"
@lil_0uzi_vert,"[0.4, 0.5, 0.1]"
@loolinmx,"[0.2, 0.7, 0.1]"
@lxx.s.y_,"[0.3333333333333333, 0.5925925925925926, 0.07407407407407407]"
@malko_bee,"[0.34615384615384615, 0.5384615384615384, 0.11538461538461539]"
@mavlfit,"[0.6, 0.26666666666666666, 0.13333333333333333]"
@mini.d31,"[0.3333333333333333, 0.6, 0.06666666666666667]"
@moodonx2,"[0.5, 0.5, 0.0]"
@my_own_way_____,"[0.03333333333333333, 0.5333333333333333, 0.43333333333333335]"
@m_n__day,"[0.13333333333333333, 0.6666666666666666, 0.2]"
@odor_bubu,"[0.1, 0.7666666666666667, 0.13333333333333333]"
@oneh6_,"[0.4, 0.4666666666666667, 0.13333333333333333]"
@one_r_k,"[0.6206896551724138, 0.20689655172413793, 0.1724137931034483]"
@oohsehun,"[0.4, 0.4, 0.2]"
@oytoyt_,"[0.6333333333333333, 0.23333333333333334, 0.13333333333333333]"
@ro.seon,"[0.8, 0.1, 0.1]"
@rozley._.y,"[0.03333333333333333, 0.9666666666666667, 0.0]"
@rupinydaily,"[0.2857142857142857, 0.7142857142857143, 0.0]"
@ruri.kim,"[0.16666666666666666, 0.8, 0.03333333333333333]"
@s.s_jun,"[0.4666666666666667, 0.4, 0.13333333333333333]"
@shura_twins_korea,"[0.037037037037037035, 0.8518518518518519, 0.1111111111111111]"
@siaestival,"[0.35714285714285715, 0.32142857142857145, 0.32142857142857145]"
@skuukzky,"[0.2608695652173913, 0.391304347826087, 0.34782608695652173]"
@slglf,"[0.8, 0.2, 0.0]"
@so_h_appy,"[0.4666666666666667, 0.4, 0.13333333333333333]"
@so_j2,"[0.8, 0.16666666666666666, 0.03333333333333333]"
@so_love_so_,"[0.13333333333333333, 0.6666666666666666, 0.2]"
@sualboys,"[0.6666666666666666, 0.23333333333333334, 0.1]"
@sympa_young,"[0.23333333333333334, 0.6666666666666666, 0.1]"
@s_uz_.zzy__2,"[0.9, 0.0, 0.1]"
@tlrou.vee,"[0.26666666666666666, 0.5, 0.23333333333333334]"
@tt__yl,"[0.03571428571428571, 0.5357142857142857, 0.42857142857142855]"
@uuuuk_2_,"[0.4, 0.5, 0.1]"
@velyjuu,"[0.07692307692307693, 0.9230769230769231, 0.0]"
@win.on_,"[0.2, 0.6666666666666666, 0.13333333333333333]"
@wnsgurrha,"[0.32142857142857145, 0.5357142857142857, 0.14285714285714285]"
@xixxeeonx_4,"[0.3333333333333333, 0.6333333333333333, 0.03333333333333333]"
@y._.dulcet,"[0.1, 0.8666666666666667, 0.03333333333333333]"
@yangkoon__dl,"[0.2, 0.7666666666666667, 0.03333333333333333]"
@yeenstyle_,"[0.043478260869565216, 0.7391304347826086, 0.21739130434782608]"
@yj_mark,"[0.1724137931034483, 0.6551724137931034, 0.1724137931034483]"
@ys971003__,"[0.11538461538461539, 0.7692307692307693, 0.11538461538461539]"
@yulkeem___,"[0.2857142857142857, 0.6428571428571429, 0.07142857142857142]"
@yummy.__.do,"[0.26666666666666666, 0.6, 0.13333333333333333]"
@y_mood_h,"[0.1724137931034483, 0.8275862068965517, 0.0]"
@zxcvr0626,"[0.13333333333333333, 0.7, 0.16666666666666666]"
@z___meme,"[0.4642857142857143, 0.5, 0.03571428571428571]"
@_jongh0,"[0.35714285714285715, 0.6071428571428571, 0.03571428571428571]"
@_mgi_closet_,"[0.3333333333333333, 0.4666666666666667, 0.2]"
@_yourthen,"[0.3333333333333333, 0.6666666666666666, 0.0]"
@_zia_mood,"[0.1, 0.8333333333333334, 0.06666666666666667]"
@__02x02,"[0.5666666666666667, 0.36666666666666664, 0.06666666666666667]"
@__my_t__,"[0.36666666666666664, 0.43333333333333335, 0.2]"
@__v.yuum_look__,"[0.1724137931034483, 0.7931034482758621, 0.034482758620689655]"
